Id,Experiment,Sex,Drug,Genotype,Trial,Outcome
101,1,M,Saline,WT,1,0.014
102,1,M,Saline,WT,1,0.053
103,1,M,Saline,WT,1,0.154
104,1,M,Saline,WT,1,0.065
105,1,M,Saline,WT,1,0.038
106,1,M,Saline,WT,1,0.237
107,1,M,Saline,WT,1,0.613
101,2,M,Saline,WT,1,0.076
102,2,M,Saline,WT,1,0.202
103,2,M,Saline,WT,1,0.49
104,2,M,Saline,WT,1,0.034
105,2,M,Saline,WT,1,0.072
106,2,M,Saline,WT,1,0.177
107,2,M,Saline,WT,1,0.265
101,3,M,Saline,WT,1,0.044
102,3,M,Saline,WT,1,0.166
103,3,M,Saline,WT,1,0.065
104,3,M,Saline,WT,1,0.039
105,3,M,Saline,WT,1,0.086
106,3,M,Saline,WT,1,0.061
107,3,M,Saline,WT,1,0.074
101,1,M,SKF,WT,1,0.107
102,1,M,SKF,WT,1,0.52
103,1,M,SKF,WT,1,0.425
104,1,M,SKF,WT,1,0.779
105,1,M,SKF,WT,1,0.093
106,1,M,SKF,WT,1,0.834
107,1,M,SKF,WT,1,0.043
101,2,M,SKF,WT,1,0.065
102,2,M,SKF,WT,1,0.054
103,2,M,SKF,WT,1,0.265
104,2,M,SKF,WT,1,0.053
105,2,M,SKF,WT,1,0.472
106,2,M,SKF,WT,1,0.117
107,2,M,SKF,WT,1,0.041
101,3,M,SKF,WT,1,0.23
102,3,M,SKF,WT,1,0.057
103,3,M,SKF,WT,1,0.017
104,3,M,SKF,WT,1,0.157
105,3,M,SKF,WT,1,0.338
106,3,M,SKF,WT,1,0.083
107,3,M,SKF,WT,1,0.015
108,1,M,Saline,KI,1,0.072
109,1,M,Saline,KI,1,0.474
110,1,M,Saline,KI,1,0.081
111,1,M,Saline,KI,1,0.808
112,1,M,Saline,KI,1,0.078
113,1,M,Saline,KI,1,0.085
114,1,M,Saline,KI,1,0.084
108,2,M,Saline,KI,1,0.09
109,2,M,Saline,KI,1,0.088
110,2,M,Saline,KI,1,0.054
111,2,M,Saline,KI,1,0.082
112,2,M,Saline,KI,1,0.654
113,2,M,Saline,KI,1,0.412
114,2,M,Saline,KI,1,0.206
108,3,M,Saline,KI,1,0.029
109,3,M,Saline,KI,1,0.074
110,3,M,Saline,KI,1,0.191
111,3,M,Saline,KI,1,0.161
112,3,M,Saline,KI,1,0.043
113,3,M,Saline,KI,1,0.085
114,3,M,Saline,KI,1,0.073
108,1,M,SKF,KI,1,0.002
109,1,M,SKF,KI,1,0.907
110,1,M,SKF,KI,1,0.653
111,1,M,SKF,KI,1,0.049
112,1,M,SKF,KI,1,0.436
113,1,M,SKF,KI,1,0.832
114,1,M,SKF,KI,1,0.554
108,2,M,SKF,KI,1,0.083
109,2,M,SKF,KI,1,0.14
110,2,M,SKF,KI,1,0.274
111,2,M,SKF,KI,1,0.028
112,2,M,SKF,KI,1,0.042
113,2,M,SKF,KI,1,0.15
114,2,M,SKF,KI,1,0.127
108,3,M,SKF,KI,1,0.256
109,3,M,SKF,KI,1,0.097
110,3,M,SKF,KI,1,0.057
111,3,M,SKF,KI,1,0.063
112,3,M,SKF,KI,1,0.157
113,3,M,SKF,KI,1,0.376
114,3,M,SKF,KI,1,0.022
115,1,F,Saline,WT,1,0.137
116,1,F,Saline,WT,1,0.044
117,1,F,Saline,WT,1,0.132
118,1,F,Saline,WT,1,0.08
119,1,F,Saline,WT,1,0.303
120,1,F,Saline,WT,1,0.048
121,1,F,Saline,WT,1,0.806
122,1,F,Saline,WT,1,0.12
123,1,F,Saline,WT,1,0.027
124,1,F,Saline,WT,1,0.121
125,1,F,Saline,WT,1,0.069
126,1,F,Saline,WT,1,0.621
115,2,F,Saline,WT,1,0.428
116,2,F,Saline,WT,1,0.047
117,2,F,Saline,WT,1,0.062
118,2,F,Saline,WT,1,0.114
119,2,F,Saline,WT,1,0.305
120,2,F,Saline,WT,1,0.644
121,2,F,Saline,WT,1,0.134
122,2,F,Saline,WT,1,0.099
123,2,F,Saline,WT,1,0.219
124,2,F,Saline,WT,1,0.084
125,2,F,Saline,WT,1,0.103
126,2,F,Saline,WT,1,0.073
115,3,F,Saline,WT,1,0.011
116,3,F,Saline,WT,1,0.939
117,3,F,Saline,WT,1,0.164
118,3,F,Saline,WT,1,0.045
119,3,F,Saline,WT,1,0.024
120,3,F,Saline,WT,1,0.04
121,3,F,Saline,WT,1,0.161
122,3,F,Saline,WT,1,0.954
123,3,F,Saline,WT,1,0.078
124,3,F,Saline,WT,1,0.041
125,3,F,Saline,WT,1,0.412
126,3,F,Saline,WT,1,0.071
115,1,F,SKF,WT,1,0.06
116,1,F,SKF,WT,1,0.032
117,1,F,SKF,WT,1,0.249
118,1,F,SKF,WT,1,0.088
119,1,F,SKF,WT,1,0.091
120,1,F,SKF,WT,1,0.255
121,1,F,SKF,WT,1,0.043
122,1,F,SKF,WT,1,0.188
123,1,F,SKF,WT,1,0.09
124,1,F,SKF,WT,1,0.042
125,1,F,SKF,WT,1,0.053
126,1,F,SKF,WT,1,0.571
115,2,F,SKF,WT,1,0.057
116,2,F,SKF,WT,1,0.102
117,2,F,SKF,WT,1,0.154
118,2,F,SKF,WT,1,0.177
119,2,F,SKF,WT,1,0.084
120,2,F,SKF,WT,1,0.959
121,2,F,SKF,WT,1,0.063
122,2,F,SKF,WT,1,0.738
123,2,F,SKF,WT,1,0.043
124,2,F,SKF,WT,1,0.065
125,2,F,SKF,WT,1,0.059
126,2,F,SKF,WT,1,0.092
115,3,F,SKF,WT,1,0.199
116,3,F,SKF,WT,1,0.269
117,3,F,SKF,WT,1,0.439
118,3,F,SKF,WT,1,0.184
119,3,F,SKF,WT,1,0.126
120,3,F,SKF,WT,1,0.126
121,3,F,SKF,WT,1,0.037
122,3,F,SKF,WT,1,0.081
123,3,F,SKF,WT,1,0.093
124,3,F,SKF,WT,1,0.121
125,3,F,SKF,WT,1,0.374
126,3,F,SKF,WT,1,0.176
127,1,F,Saline,KI,1,0.198
128,1,F,Saline,KI,1,0.207
129,1,F,Saline,KI,1,0.135
130,1,F,Saline,KI,1,0.114
131,1,F,Saline,KI,1,0.126
132,1,F,Saline,KI,1,0.089
133,1,F,Saline,KI,1,0.532
134,1,F,Saline,KI,1,0.502
135,1,F,Saline,KI,1,0.827
136,1,F,Saline,KI,1,0.068
137,1,F,Saline,KI,1,0.058
127,2,F,Saline,KI,1,0.403
128,2,F,Saline,KI,1,0.446
129,2,F,Saline,KI,1,0.29
130,2,F,Saline,KI,1,0.022
131,2,F,Saline,KI,1,0.047
132,2,F,Saline,KI,1,0.178
133,2,F,Saline,KI,1,0.082
134,2,F,Saline,KI,1,0.15
135,2,F,Saline,KI,1,0.059
136,2,F,Saline,KI,1,0.689
137,2,F,Saline,KI,1,0.097
127,3,F,Saline,KI,1,0.155
128,3,F,Saline,KI,1,0.047
129,3,F,Saline,KI,1,0.128
130,3,F,Saline,KI,1,0.067
131,3,F,Saline,KI,1,0.091
132,3,F,Saline,KI,1,0.026
133,3,F,Saline,KI,1,0.213
134,3,F,Saline,KI,1,0.068
135,3,F,Saline,KI,1,0.188
136,3,F,Saline,KI,1,0.049
137,3,F,Saline,KI,1,0.04
127,1,F,SKF,KI,1,0.18
128,1,F,SKF,KI,1,0.997
129,1,F,SKF,KI,1,0.238
130,1,F,SKF,KI,1,0.857
131,1,F,SKF,KI,1,0.132
132,1,F,SKF,KI,1,0.081
133,1,F,SKF,KI,1,0.124
134,1,F,SKF,KI,1,0.763
135,1,F,SKF,KI,1,0.949
136,1,F,SKF,KI,1,0.031
137,1,F,SKF,KI,1,0.081
127,2,F,SKF,KI,1,0.088
128,2,F,SKF,KI,1,0.186
129,2,F,SKF,KI,1,0.14
130,2,F,SKF,KI,1,0.094
131,2,F,SKF,KI,1,0.078
132,2,F,SKF,KI,1,0.109
133,2,F,SKF,KI,1,0.857
134,2,F,SKF,KI,1,0.922
135,2,F,SKF,KI,1,0.848
136,2,F,SKF,KI,1,0.152
137,2,F,SKF,KI,1,0.175
127,3,F,SKF,KI,1,0.095
128,3,F,SKF,KI,1,0.077
129,3,F,SKF,KI,1,0.142
130,3,F,SKF,KI,1,0.07
131,3,F,SKF,KI,1,0.104
132,3,F,SKF,KI,1,0.147
133,3,F,SKF,KI,1,0.083
134,3,F,SKF,KI,1,0.073
135,3,F,SKF,KI,1,0.109
136,3,F,SKF,KI,1,0.014
137,3,F,SKF,KI,1,0.063
101,1,M,Saline,WT,2,0.039
102,1,M,Saline,WT,2,0.072
103,1,M,Saline,WT,2,0.062
104,1,M,Saline,WT,2,0.063
105,1,M,Saline,WT,2,0.048
106,1,M,Saline,WT,2,0.971
107,1,M,Saline,WT,2,0.038
101,2,M,Saline,WT,2,0.155
102,2,M,Saline,WT,2,0.417
103,2,M,Saline,WT,2,0.588
104,2,M,Saline,WT,2,0.11
105,2,M,Saline,WT,2,0.442
106,2,M,Saline,WT,2,0.944
107,2,M,Saline,WT,2,0.963
101,3,M,Saline,WT,2,0.628
102,3,M,Saline,WT,2,0.049
103,3,M,Saline,WT,2,0.095
104,3,M,Saline,WT,2,0.06
105,3,M,Saline,WT,2,0.075
106,3,M,Saline,WT,2,0.092
107,3,M,Saline,WT,2,0.213
101,1,M,SKF,WT,2,0.411
102,1,M,SKF,WT,2,0.96
103,1,M,SKF,WT,2,0.146
104,1,M,SKF,WT,2,0.941
105,1,M,SKF,WT,2,0.067
106,1,M,SKF,WT,2,0.074
107,1,M,SKF,WT,2,0.141
101,2,M,SKF,WT,2,0.094
102,2,M,SKF,WT,2,0.177
103,2,M,SKF,WT,2,0.141
104,2,M,SKF,WT,2,0.383
105,2,M,SKF,WT,2,0.096
106,2,M,SKF,WT,2,0.373
107,2,M,SKF,WT,2,0.602
101,3,M,SKF,WT,2,0.092
102,3,M,SKF,WT,2,0.186
103,3,M,SKF,WT,2,0.044
104,3,M,SKF,WT,2,0.057
105,3,M,SKF,WT,2,0.172
106,3,M,SKF,WT,2,0.538
107,3,M,SKF,WT,2,0.105
108,1,M,Saline,KI,2,0.393
109,1,M,Saline,KI,2,0.183
110,1,M,Saline,KI,2,0.903
111,1,M,Saline,KI,2,0.093
112,1,M,Saline,KI,2,0.237
113,1,M,Saline,KI,2,0.52
114,1,M,Saline,KI,2,0.116
108,2,M,Saline,KI,2,0.003
109,2,M,Saline,KI,2,0.238
110,2,M,Saline,KI,2,0.065
111,2,M,Saline,KI,2,0.133
112,2,M,Saline,KI,2,0.798
113,2,M,Saline,KI,2,0.093
114,2,M,Saline,KI,2,0.126
108,3,M,Saline,KI,2,0.055
109,3,M,Saline,KI,2,0.874
110,3,M,Saline,KI,2,0.099
111,3,M,Saline,KI,2,0.472
112,3,M,Saline,KI,2,0.02
113,3,M,Saline,KI,2,0.638
114,3,M,Saline,KI,2,0.074
108,1,M,SKF,KI,2,0.02
109,1,M,SKF,KI,2,0.442
110,1,M,SKF,KI,2,0.044
111,1,M,SKF,KI,2,0.046
112,1,M,SKF,KI,2,0.046
113,1,M,SKF,KI,2,0.042
114,1,M,SKF,KI,2,0.062
108,2,M,SKF,KI,2,0.104
109,2,M,SKF,KI,2,0.213
110,2,M,SKF,KI,2,0.32
111,2,M,SKF,KI,2,0.72
112,2,M,SKF,KI,2,0.326
113,2,M,SKF,KI,2,0.105
114,2,M,SKF,KI,2,0.269
108,3,M,SKF,KI,2,0.129
109,3,M,SKF,KI,2,0.169
110,3,M,SKF,KI,2,0.388
111,3,M,SKF,KI,2,0.037
112,3,M,SKF,KI,2,0.162
113,3,M,SKF,KI,2,0.272
114,3,M,SKF,KI,2,0.473
115,1,F,Saline,WT,2,0.119
116,1,F,Saline,WT,2,0.584
117,1,F,Saline,WT,2,0.065
118,1,F,Saline,WT,2,0.136
119,1,F,Saline,WT,2,0.331
120,1,F,Saline,WT,2,0.055
121,1,F,Saline,WT,2,0.517
122,1,F,Saline,WT,2,0.586
123,1,F,Saline,WT,2,0.032
124,1,F,Saline,WT,2,0.985
125,1,F,Saline,WT,2,0.058
126,1,F,Saline,WT,2,0.114
115,2,F,Saline,WT,2,0.103
116,2,F,Saline,WT,2,0.716
117,2,F,Saline,WT,2,0.189
118,2,F,Saline,WT,2,0.719
119,2,F,Saline,WT,2,0.666
120,2,F,Saline,WT,2,0.852
121,2,F,Saline,WT,2,0.931
122,2,F,Saline,WT,2,0.124
123,2,F,Saline,WT,2,0.305
124,2,F,Saline,WT,2,0.392
125,2,F,Saline,WT,2,0.181
126,2,F,Saline,WT,2,0.486
115,3,F,Saline,WT,2,0.068
116,3,F,Saline,WT,2,0.218
117,3,F,Saline,WT,2,0.41
118,3,F,Saline,WT,2,0.198
119,3,F,Saline,WT,2,0.042
120,3,F,Saline,WT,2,0.053
121,3,F,Saline,WT,2,0.065
122,3,F,Saline,WT,2,0.976
123,3,F,Saline,WT,2,0.037
124,3,F,Saline,WT,2,0.067
125,3,F,Saline,WT,2,0.181
126,3,F,Saline,WT,2,0.062
115,1,F,SKF,WT,2,0.237
116,1,F,SKF,WT,2,0.752
117,1,F,SKF,WT,2,0.041
118,1,F,SKF,WT,2,0.987
119,1,F,SKF,WT,2,0.075
120,1,F,SKF,WT,2,0.123
121,1,F,SKF,WT,2,0.932
122,1,F,SKF,WT,2,0.986
123,1,F,SKF,WT,2,0.308
124,1,F,SKF,WT,2,0.054
125,1,F,SKF,WT,2,0.394
126,1,F,SKF,WT,2,0.766
115,2,F,SKF,WT,2,0.057
116,2,F,SKF,WT,2,0.126
117,2,F,SKF,WT,2,0.149
118,2,F,SKF,WT,2,0.117
119,2,F,SKF,WT,2,0.791
120,2,F,SKF,WT,2,0.08
121,2,F,SKF,WT,2,0.733
122,2,F,SKF,WT,2,0.222
123,2,F,SKF,WT,2,0.155
124,2,F,SKF,WT,2,0.061
125,2,F,SKF,WT,2,0.087
126,2,F,SKF,WT,2,0.044
115,3,F,SKF,WT,2,0.045
116,3,F,SKF,WT,2,0.167
117,3,F,SKF,WT,2,0.088
118,3,F,SKF,WT,2,0.617
119,3,F,SKF,WT,2,0.071
120,3,F,SKF,WT,2,0.086
121,3,F,SKF,WT,2,0.942
122,3,F,SKF,WT,2,0.967
123,3,F,SKF,WT,2,0.047
124,3,F,SKF,WT,2,0.418
125,3,F,SKF,WT,2,0.411
126,3,F,SKF,WT,2,0.384
127,1,F,Saline,KI,2,0.043
128,1,F,Saline,KI,2,0.106
129,1,F,Saline,KI,2,0.017
130,1,F,Saline,KI,2,0.351
131,1,F,Saline,KI,2,0.122
132,1,F,Saline,KI,2,0.659
133,1,F,Saline,KI,2,0.039
134,1,F,Saline,KI,2,0.164
135,1,F,Saline,KI,2,0.058
136,1,F,Saline,KI,2,0.079
137,1,F,Saline,KI,2,0.079
127,2,F,Saline,KI,2,0.098
128,2,F,Saline,KI,2,0.589
129,2,F,Saline,KI,2,0.025
130,2,F,Saline,KI,2,0.019
131,2,F,Saline,KI,2,0.098
132,2,F,Saline,KI,2,0.541
133,2,F,Saline,KI,2,0.965
134,2,F,Saline,KI,2,0.084
135,2,F,Saline,KI,2,0.132
136,2,F,Saline,KI,2,0.114
137,2,F,Saline,KI,2,0.398
127,3,F,Saline,KI,2,0.075
128,3,F,Saline,KI,2,0.096
129,3,F,Saline,KI,2,0.128
130,3,F,Saline,KI,2,0.075
131,3,F,Saline,KI,2,0.027
132,3,F,Saline,KI,2,0.412
133,3,F,Saline,KI,2,0.044
134,3,F,Saline,KI,2,0.129
135,3,F,Saline,KI,2,0.099
136,3,F,Saline,KI,2,0.048
137,3,F,Saline,KI,2,0.108
127,1,F,SKF,KI,2,0.087
128,1,F,SKF,KI,2,0.986
129,1,F,SKF,KI,2,0.283
130,1,F,SKF,KI,2,0.901
131,1,F,SKF,KI,2,0.942
132,1,F,SKF,KI,2,0.437
133,1,F,SKF,KI,2,0.188
134,1,F,SKF,KI,2,0.087
135,1,F,SKF,KI,2,0.991
136,1,F,SKF,KI,2,0.131
137,1,F,SKF,KI,2,0.043
127,2,F,SKF,KI,2,0.104
128,2,F,SKF,KI,2,0.075
129,2,F,SKF,KI,2,0.263
130,2,F,SKF,KI,2,0.307
131,2,F,SKF,KI,2,0.074
132,2,F,SKF,KI,2,0.116
133,2,F,SKF,KI,2,0.043
134,2,F,SKF,KI,2,0.14
135,2,F,SKF,KI,2,0.959
136,2,F,SKF,KI,2,0.136
137,2,F,SKF,KI,2,0.198
127,3,F,SKF,KI,2,0.081
128,3,F,SKF,KI,2,0.104
129,3,F,SKF,KI,2,0.368
130,3,F,SKF,KI,2,0.124
131,3,F,SKF,KI,2,0.124
132,3,F,SKF,KI,2,0.21
133,3,F,SKF,KI,2,0.109
134,3,F,SKF,KI,2,0.115
135,3,F,SKF,KI,2,0.096
136,3,F,SKF,KI,2,0.073
137,3,F,SKF,KI,2,0.086
