"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
1,"Saline","WT","M",1,1,60
1,"Saline","WT","M",1,2,60
1,"Saline","WT","M",1,3,27.5
1,"Saline","WT","M",1,4,35.5
1,"Saline","WT","M",2,1,60
1,"Saline","WT","M",2,2,60
1,"Saline","WT","M",2,3,13.7
1,"Saline","WT","M",2,4,5.2
1,"SKF","WT","M",1,1,60
1,"SKF","WT","M",1,2,7.4
1,"SKF","WT","M",1,3,48.2
1,"SKF","WT","M",1,4,6.8
1,"SKF","WT","M",2,1,11.6
1,"SKF","WT","M",2,2,10
1,"SKF","WT","M",2,3,6.6
1,"SKF","WT","M",2,4,5.5
2,"Saline","WT","M",1,1,8
2,"Saline","WT","M",1,2,10.7
2,"Saline","WT","M",1,3,8.8
2,"Saline","WT","M",1,4,14.3
2,"Saline","WT","M",2,1,37.4
2,"Saline","WT","M",2,2,31.2
2,"Saline","WT","M",2,3,60
2,"Saline","WT","M",2,4,60
2,"SKF","WT","M",1,1,60
2,"SKF","WT","M",1,2,60
2,"SKF","WT","M",1,3,30.2
2,"SKF","WT","M",1,4,47.9
2,"SKF","WT","M",2,1,13.3
2,"SKF","WT","M",2,2,60
2,"SKF","WT","M",2,3,34.3
2,"SKF","WT","M",2,4,20.9
3,"Saline","WT","M",1,1,46.5
3,"Saline","WT","M",1,2,60
3,"Saline","WT","M",1,3,60
3,"Saline","WT","M",1,4,48.4
3,"Saline","WT","M",2,1,5
3,"Saline","WT","M",2,2,13.5
3,"Saline","WT","M",2,3,28.7
3,"Saline","WT","M",2,4,42.9
3,"SKF","WT","M",1,1,19.4
3,"SKF","WT","M",1,2,25.8
3,"SKF","WT","M",1,3,15.3
3,"SKF","WT","M",1,4,60
3,"SKF","WT","M",2,1,60
3,"SKF","WT","M",2,2,55.5
3,"SKF","WT","M",2,3,28.5
3,"SKF","WT","M",2,4,25.6
4,"Saline","WT","M",1,1,60
4,"Saline","WT","M",1,2,42.7
4,"Saline","WT","M",1,3,6.5
4,"Saline","WT","M",1,4,5.2
4,"Saline","WT","M",2,1,60
4,"Saline","WT","M",2,2,26.2
4,"Saline","WT","M",2,3,24.9
4,"Saline","WT","M",2,4,16.3
4,"SKF","WT","M",1,1,39.9
4,"SKF","WT","M",1,2,27.5
4,"SKF","WT","M",1,3,34.4
4,"SKF","WT","M",1,4,15.4
4,"SKF","WT","M",2,1,22.3
4,"SKF","WT","M",2,2,33.8
4,"SKF","WT","M",2,3,37.8
4,"SKF","WT","M",2,4,2.8
5,"Saline","WT","M",1,1,22
5,"Saline","WT","M",1,2,5.9
5,"Saline","WT","M",1,3,3.8
5,"Saline","WT","M",1,4,3.7
5,"Saline","WT","M",2,1,26.2
5,"Saline","WT","M",2,2,60
5,"Saline","WT","M",2,3,7.2
5,"Saline","WT","M",2,4,6.5
5,"SKF","WT","M",1,1,18.9
5,"SKF","WT","M",1,2,60
5,"SKF","WT","M",1,3,60
5,"SKF","WT","M",1,4,29.1
5,"SKF","WT","M",2,1,46.8
5,"SKF","WT","M",2,2,3.4
5,"SKF","WT","M",2,3,8.8
5,"SKF","WT","M",2,4,10.1
6,"Saline","KI","M",1,1,10.7
6,"Saline","KI","M",1,2,16.9
6,"Saline","KI","M",1,3,17.1
6,"Saline","KI","M",1,4,13
6,"Saline","KI","M",2,1,18.8
6,"Saline","KI","M",2,2,60
6,"Saline","KI","M",2,3,47.6
6,"Saline","KI","M",2,4,5
6,"SKF","KI","M",1,1,44.6
6,"SKF","KI","M",1,2,12.6
6,"SKF","KI","M",1,3,12
6,"SKF","KI","M",1,4,5.4
6,"SKF","KI","M",2,1,16.5
6,"SKF","KI","M",2,2,5.4
6,"SKF","KI","M",2,3,5.7
6,"SKF","KI","M",2,4,5.2
7,"Saline","KI","M",1,1,60
7,"Saline","KI","M",1,2,60
7,"Saline","KI","M",1,3,44.9
7,"Saline","KI","M",1,4,20.5
7,"Saline","KI","M",2,1,23.2
7,"Saline","KI","M",2,2,24.8
7,"Saline","KI","M",2,3,60
7,"Saline","KI","M",2,4,60
7,"SKF","KI","M",1,1,31.3
7,"SKF","KI","M",1,2,16.3
7,"SKF","KI","M",1,3,60
7,"SKF","KI","M",1,4,60
7,"SKF","KI","M",2,1,54.3
7,"SKF","KI","M",2,2,60
7,"SKF","KI","M",2,3,34.9
7,"SKF","KI","M",2,4,60
8,"Saline","KI","M",1,1,32
8,"Saline","KI","M",1,2,60
8,"Saline","KI","M",1,3,23.7
8,"Saline","KI","M",1,4,60
8,"Saline","KI","M",2,1,60
8,"Saline","KI","M",2,2,60
8,"Saline","KI","M",2,3,52.8
8,"Saline","KI","M",2,4,60
8,"SKF","KI","M",1,1,30
8,"SKF","KI","M",1,2,24.4
8,"SKF","KI","M",1,3,17.6
8,"SKF","KI","M",1,4,7.5
8,"SKF","KI","M",2,1,53.4
8,"SKF","KI","M",2,2,52.7
8,"SKF","KI","M",2,3,58.4
8,"SKF","KI","M",2,4,50.1
9,"Saline","KI","M",1,1,30.9
9,"Saline","KI","M",1,2,60
9,"Saline","KI","M",1,3,12.1
9,"Saline","KI","M",1,4,17.3
9,"Saline","KI","M",2,1,43.4
9,"Saline","KI","M",2,2,60
9,"Saline","KI","M",2,3,60
9,"Saline","KI","M",2,4,60
9,"SKF","KI","M",1,1,36.9
9,"SKF","KI","M",1,2,60
9,"SKF","KI","M",1,3,60
9,"SKF","KI","M",1,4,60
9,"SKF","KI","M",2,1,41.5
9,"SKF","KI","M",2,2,16.8
9,"SKF","KI","M",2,3,15.1
9,"SKF","KI","M",2,4,6.7
10,"Saline","KI","M",1,1,14.4
10,"Saline","KI","M",1,2,44.2
10,"Saline","KI","M",1,3,60
10,"Saline","KI","M",1,4,60
10,"Saline","KI","M",2,1,41
10,"Saline","KI","M",2,2,60
10,"Saline","KI","M",2,3,38.7
10,"Saline","KI","M",2,4,60
10,"SKF","KI","M",1,1,60
10,"SKF","KI","M",1,2,7.2
10,"SKF","KI","M",1,3,13.7
10,"SKF","KI","M",1,4,31.9
10,"SKF","KI","M",2,1,60
10,"SKF","KI","M",2,2,54
10,"SKF","KI","M",2,3,60
10,"SKF","KI","M",2,4,20.6
11,"Saline","WT","F",1,1,60
11,"Saline","WT","F",1,2,33.8
11,"Saline","WT","F",1,3,13
11,"Saline","WT","F",1,4,3.6
11,"Saline","WT","F",2,1,3.9
11,"Saline","WT","F",2,2,18.4
11,"Saline","WT","F",2,3,4.7
11,"Saline","WT","F",2,4,14
11,"SKF","WT","F",1,1,13.9
11,"SKF","WT","F",1,2,60
11,"SKF","WT","F",1,3,9.9
11,"SKF","WT","F",1,4,15.4
11,"SKF","WT","F",2,1,30.3
11,"SKF","WT","F",2,2,14.5
11,"SKF","WT","F",2,3,25
11,"SKF","WT","F",2,4,2.3
12,"Saline","WT","F",1,1,60
12,"Saline","WT","F",1,2,60
12,"Saline","WT","F",1,3,17.8
12,"Saline","WT","F",1,4,14.1
12,"Saline","WT","F",2,1,60
12,"Saline","WT","F",2,2,46
12,"Saline","WT","F",2,3,14.6
12,"Saline","WT","F",2,4,5.8
12,"SKF","WT","F",1,1,60
12,"SKF","WT","F",1,2,20.2
12,"SKF","WT","F",1,3,9.9
12,"SKF","WT","F",1,4,7
12,"SKF","WT","F",2,1,44.6
12,"SKF","WT","F",2,2,4
12,"SKF","WT","F",2,3,6.3
12,"SKF","WT","F",2,4,15
13,"Saline","WT","F",1,1,18.2
