"Id","Experiment","Sex","Drug","Genotype","Trial","Outcome"
1,1,"M","Saline","WT",1,0.021
1,1,"M","Saline","WT",2,0.021
1,1,"M","Saline","WT",3,0.014
1,1,"M","Saline","WT",4,0.017
1,2,"M","Saline","WT",1,0.023
1,2,"M","Saline","WT",2,0.018
1,2,"M","Saline","WT",3,0.017
1,2,"M","Saline","WT",4,0.017
1,1,"M","SKF","WT",1,0.025
1,1,"M","SKF","WT",2,0.017
1,1,"M","SKF","WT",3,0.019
1,1,"M","SKF","WT",4,0.017
1,2,"M","SKF","WT",1,0.018
1,2,"M","SKF","WT",2,0.023
1,2,"M","SKF","WT",3,0.022
1,2,"M","SKF","WT",4,0.022
2,1,"M","Saline","WT",1,0.017
2,1,"M","Saline","WT",2,0.016
2,1,"M","Saline","WT",3,0.018
2,1,"M","Saline","WT",4,0.016
2,2,"M","Saline","WT",1,0.017
2,2,"M","Saline","WT",2,0.015
2,2,"M","Saline","WT",3,0.016
2,2,"M","Saline","WT",4,0.013
2,1,"M","SKF","WT",1,0.01
2,1,"M","SKF","WT",2,0.008
2,1,"M","SKF","WT",3,0.009
2,1,"M","SKF","WT",4,0.013
2,2,"M","SKF","WT",1,0.019
2,2,"M","SKF","WT",2,0.015
2,2,"M","SKF","WT",3,0.013
2,2,"M","SKF","WT",4,0.013
3,1,"M","Saline","WT",1,0.024
3,1,"M","Saline","WT",2,0.019
3,1,"M","Saline","WT",3,0.018
3,1,"M","Saline","WT",4,0.017
3,2,"M","Saline","WT",1,0.023
3,2,"M","Saline","WT",2,0.02
3,2,"M","Saline","WT",3,0.019
3,2,"M","Saline","WT",4,0.018
3,1,"M","SKF","WT",1,0.013
3,1,"M","SKF","WT",2,0.022
3,1,"M","SKF","WT",3,0.017
3,1,"M","SKF","WT",4,0.02
3,2,"M","SKF","WT",1,0.019
3,2,"M","SKF","WT",2,0.014
3,2,"M","SKF","WT",3,0.009
3,2,"M","SKF","WT",4,0.009
4,1,"M","Saline","WT",1,0.017
4,1,"M","Saline","WT",2,0.016
4,1,"M","Saline","WT",3,0.017
4,1,"M","Saline","WT",4,0.017
4,2,"M","Saline","WT",1,0.019
